OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,NationalHighwaySystem,Length,LRSDate,GlobalID,SHAPESTLength
6636,420004640i,0.27700001001358,0.340000003576279,1,0.063000001013279,2021/12/31 00:00:00+00,{3D788928-2892-40C6-9F56-7875C59F0BB5},330.494485067543
6637,720001180i,0,0.218999996781349,6,0.218999996781349,2021/12/31 00:00:00+00,{3DAE0042-B199-426E-8980-BC365664A371},1158.20944827539
6638,620001330i,11.0059995651245,11.53600025177,1,0.529999971389771,2021/12/31 00:00:00+00,{3EB03661-8842-4AEE-AC4E-612CE1B33045},2798.41337609567
6639,420006440i,0,0.34400001168251,1,0.34400001168251,2021/12/31 00:00:00+00,{3FC889A3-87E6-4E52-A375-2B14ED4874B5},1816.21745202897
6640,420004630i,1.57099997997284,1.74500000476837,1,0.17399999499321,2021/12/31 00:00:00+00,{3FDF4E09-0FD0-4CCB-9F7C-602D1D7E8198},920.636863500278
6641,760000570i,5.14499998092651,5.30200004577637,3,0.157000005245209,2021/12/31 00:00:00+00,{40E31E8D-9FF7-4090-8786-187D9E04764B},828.195252865746
6642,620001080i,1.1710000038147,1.38699996471405,1,0.216000005602837,2021/12/31 00:00:00+00,{413BEB42-2823-49CA-95C7-BB06FFA4BBB7},1140.48304060307
6643,420004590i,1.74399995803833,2.34500002861023,1,0.601000010967255,2021/12/31 00:00:00+00,{4144F0B2-BE8C-44C6-AD68-FF5FCF0497B0},3176.02151148714
6644,860003510i,0,0.848999977111816,1,0.848999977111816,2021/12/31 00:00:00+00,{416A9B3F-2C35-4707-9ED9-4F29D615D55E},4485.32852506046
6645,420004000i,0.542999982833862,0.580999970436096,6,0.0379999987781048,2021/12/31 00:00:00+00,{4180D336-E3BC-4BE3-90BF-60BA1465705F},200.508129136067
6646,200001410i,2.43799996376038,3.38199996948242,1,0.944000005722046,2021/12/31 00:00:00+00,{4195E0A7-2814-4CBA-B366-3FEFA30E8271},4984.08262143855
6647,420004330i,0.787000000476837,0.843999981880188,1,0.0570000000298023,2021/12/31 00:00:00+00,{41F306E3-33BC-4782-B607-69F98F4DC2FF},300.448112960608
6648,420004710i,0.0599999986588955,0.291000008583069,1,0.231000006198883,2021/12/31 00:00:00+00,{42596347-31FB-432D-AB53-7BDECACADCFA},1220.68799539588
6649,420004720i,1.17799997329712,1.29999995231628,6,0.122000001370907,2021/12/31 00:00:00+00,{43AC9569-44EB-4A1E-BD07-03471D5D4C8D},644.500697843889
6650,420003230i,0,0.0790000036358833,5,0.0790000036358833,2021/12/31 00:00:00+00,{43D3ECDE-26B7-4AAC-B405-71A4C0737545},416.825488973924
6651,700001120i,1.13900005817413,2.05900001525879,1,0.920000016689301,2021/12/31 00:00:00+00,{43F5FBFA-9DDD-443D-A264-89C0D79EE7C3},4857.91682480341
6652,420000080i,0,1.63300001621246,1,1.63300001621246,2021/12/31 00:00:00+00,{4434B9D6-1D09-411A-8933-C86763255278},8624.5844461914
6653,420004940i,2.59400010108948,2.90300011634827,1,0.308999985456467,2021/12/31 00:00:00+00,{44558678-7BC4-43D0-B562-0B9F8A5B2C91},1631.50899485353
6654,720001310i,3.75799989700317,4.01200008392334,1,0.254000008106232,2021/12/31 00:00:00+00,{4478881B-4DB1-4543-B3DE-A39C297887AA},1341.26288383519
6655,620003060i,1.03699994087219,1.37300002574921,1,0.335999995470047,2021/12/31 00:00:00+00,{44BF7D12-AD61-496C-9140-C1D5E7D2E857},1771.42201793593
6656,720002140i,3.88299989700317,4.69600009918213,1,0.813000023365021,2021/12/31 00:00:00+00,{44BFAE8E-4732-41B1-B056-4A6140643133},4292.82827073934
6657,440001190i,0.554000020027161,0.605000019073486,1,0.0509999990463257,2021/12/31 00:00:00+00,{44CF96E8-617E-4A64-8BD7-71D482673146},269.14048962876
6658,620001830i,0,0.225999996066093,1,0.225999996066093,2021/12/31 00:00:00+00,{4547EE5E-0FDC-4EF5-B7A0-E947C474EE8F},1189.21265789766
6659,420004920i,1.65600001811981,2.66000008583069,1,1.00399994850159,2021/12/31 00:00:00+00,{45C85A14-4F99-4E16-8CA5-C3EFB9C833F2},5302.19598300279
6660,420003400i,1.48000001907349,1.74800002574921,1,0.26800000667572,2021/12/31 00:00:00+00,{4630EAB1-BC2B-4897-93D4-7D5B4326F23E},1414.96578947392
6661,760000550i,4.52199983596802,5.17399978637695,1,0.65200001001358,2021/12/31 00:00:00+00,{479AE078-AC89-483B-BF41-C4B30E107877},3442.13947967084
6662,760000550i,3.79399991035461,4.30900001525879,1,0.514999985694885,2021/12/31 00:00:00+00,{4833B986-F4E7-4A57-B3D9-F2E2B59486F5},2719.06047449876
6663,420004960i,11.6199998855591,11.701000213623,1,0.0810000002384186,2021/12/31 00:00:00+00,{4837DBDB-86C0-4904-AA2D-6FF030CD11B4},427.508859007644
