OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,DividedIndicator,SnapshotDate,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,LRSDate,SHAPESTLength
3149,101i,359.670013427734,365.480010986328,Y,2022/02/05 00:00:00+00,361.519989013672,A,367.329986572266,A,2021/12/31 00:00:00+00,30711.0260618608
3150,090S129080i,0,0.259999990463257,N,2022/02/05 00:00:00+00,0,A,0.259999990463257,A,2021/12/31 00:00:00+00,1403.65163397497
3151,170i,0,3.66000008583069,N,2022/02/05 00:00:00+00,0,A,3.6800000667572,A,2021/12/31 00:00:00+00,19308.3804886073
3152,090S128907i,0,0.810000002384186,N,2022/02/05 00:00:00+00,0,A,0.810000002384186,A,2021/12/31 00:00:00+00,4289.38231506317
3153,090S128578i,0,0.409999996423721,N,2022/02/05 00:00:00+00,0,A,0.409999996423721,A,2021/12/31 00:00:00+00,2203.91934809516
3154,090S128446i,0,1.23000001907349,N,2022/02/05 00:00:00+00,0,A,1.23000001907349,A,2021/12/31 00:00:00+00,6452.98860308674
3155,090S128345i,0,0.0599999986588955,N,2022/02/05 00:00:00+00,0,A,0.0599999986588955,A,2021/12/31 00:00:00+00,487.522028997557
3156,161i,35.2900009155273,35.3199996948242,Y,2022/02/05 00:00:00+00,35.2900009155273,A,35.3199996948242,A,2021/12/31 00:00:00+00,200.755910539182
3157,090S128276i,0,0.0700000002980232,N,2022/02/05 00:00:00+00,0,A,0.0700000002980232,A,2021/12/31 00:00:00+00,417.071619564499
3158,105SPBOONEi,0,0.150000005960464,N,2022/02/05 00:00:00+00,48.6300010681152,A,48.7799987792969,A,2021/12/31 00:00:00+00,812.316873140341
3159,090S128016i,0,0.300000011920929,N,2022/02/05 00:00:00+00,0,A,0.300000011920929,A,2021/12/31 00:00:00+00,1634.62591539709
3160,090S127988i,0,0.28999999165535,N,2022/02/05 00:00:00+00,0,A,0.28999999165535,A,2021/12/31 00:00:00+00,1634.77812184221
