OBJECTID,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,InventoryDirection,LRSDate,GlobalID,SHAPESTLength
12198,099Q103297C,099,Q1,03297C,0,A,0.159999996423721,A,0,0.159999996423721,I,2021/12/31 00:00:00+00,{A0F2D284-B5A2-4867-BFE5-2848F473B7DA},848.768030444765
12199,520R100442,520,R1,00442,0,A,0.280000001192093,A,0,0.280000001192093,I,2021/12/31 00:00:00+00,{A0F83184-BF3B-422C-B5C9-6E60FD8C894F},1419.83459294265
12200,520R101122,520,R1,01122,0,A,0.200000002980232,A,0,0.200000002980232,I,2021/12/31 00:00:00+00,{A116BD4A-CB36-48DE-AC82-AE4F890FABD1},1076.00262322237
12201,099P103621,099,P1,03621,0,A,0.100000001490116,A,0,0.100000001490116,I,2021/12/31 00:00:00+00,{A141453E-6F92-4C7E-ACB2-BAB410B7956A},467.270801929077
12202,432Q101029,432,Q1,01029,0,A,0.400000005960464,A,0,0.400000005960464,I,2021/12/31 00:00:00+00,{A1F44D11-DFF3-4A0A-9D6E-EDCA9053BE79},2081.3640332935
12203,182Q500995,182,Q5,00995,0,A,0.629999995231628,A,0,0.629999995231628,I,2021/12/31 00:00:00+00,{A246FF64-C7AB-4E4C-8DD5-48F7ECEA5FC1},3418.82461862662
12204,090P107000,090,P1,07000,0,A,0.300000011920929,A,0,0.300000011920929,I,2021/12/31 00:00:00+00,{A2FCB8F2-314B-49DA-A77A-C777312813B3},1571.28920956278
12205,509S100051,509,S1,00051,0,A,0.540000021457672,A,0,0.540000021457672,I,2021/12/31 00:00:00+00,{A3433D61-6206-4C48-A25F-0AB230B3B046},2899.12172582037
12206,090S103737,090,S1,03737,0,A,0.400000005960464,A,0,0.400000005960464,I,2021/12/31 00:00:00+00,{A39C33F5-D015-4010-8895-99B26F47E241},2061.69244109663
12207,285S100448,285,S1,00448,0,A,0.409999996423721,A,0,0.409999996423721,I,2021/12/31 00:00:00+00,{A3A06FF0-4B17-4BB2-A188-6B8D48BFB843},2127.45256631431
12208,090P117461,090,P1,17461,0,A,0.119999997317791,A,0,0.119999997317791,I,2021/12/31 00:00:00+00,{A490DC32-22C1-4B3D-B360-4C4C7D56F1D5},648.653880005114
12209,167R100028,167,R1,00028,0,A,0.310000002384186,A,0,0.310000002384186,I,2021/12/31 00:00:00+00,{A522137C-20F4-48CD-994C-0CD9530D6894},1607.58318004294
12210,395S116370S,395,S1,16370S,0,A,0.75,A,0,0.75,I,2021/12/31 00:00:00+00,{A5359BA5-F219-445A-B573-DB5E8ADF76F7},3856.6170257078
12211,543P100059,543,P1,00059,0,A,0.230000004172325,A,0,0.230000004172325,I,2021/12/31 00:00:00+00,{A550A98D-61FD-4834-A086-0297CA2F1869},1169.2508938599
12212,395S101908,395,S1,01908,0,A,0.300000011920929,A,0,0.300000011920929,I,2021/12/31 00:00:00+00,{A557A260-776C-4682-A663-239C239B8BBF},1439.53508521236
12213,090Q125450,090,Q1,25450,0,A,0.490000009536743,A,0,0.490000009536743,I,2021/12/31 00:00:00+00,{A5EB8085-895C-4192-9F46-35A61BC87171},2586.30326748001
12214,101R126488,101,R1,26488,0,A,0.319999992847443,A,0,0.319999992847443,I,2021/12/31 00:00:00+00,{A61ED850-12DF-4F68-B31C-2E1AAFFC52D2},1724.62584697675
12215,512Q100254,512,Q1,00254,0,A,0.319999992847443,A,0,0.319999992847443,I,2021/12/31 00:00:00+00,{A6B3A137-677E-4A19-AB9B-6BCF81C99B95},1651.81154816725
12216,099R102601,099,R1,02601,0,A,0.129999995231628,A,0,0.129999995231628,I,2021/12/31 00:00:00+00,{A6C7DB89-B292-429B-9E18-20719F9E1942},723.40402329039
12217,090Q118328,090,Q1,18328,0,A,0.46000000834465,A,0,0.46000000834465,I,2021/12/31 00:00:00+00,{A7097878-11C6-491D-A8DE-0CF1CC9199F4},2363.73650584415
12218,405P501813,405,P5,01813,0,A,0.189999997615814,A,0,0.189999997615814,I,2021/12/31 00:00:00+00,{A7B15D8D-0A3D-45E1-8809-D28C6CC5FC44},1054.5343090015
12219,090R528555,090,R5,28555,0,A,0.239999994635582,A,0,0.239999994635582,I,2021/12/31 00:00:00+00,{A7B529F0-11D5-4FD6-905B-1D0541577918},1308.69321254063
12220,182Q200567,182,Q2,00567,0,A,0.879999995231628,A,0,0.879999995231628,I,2021/12/31 00:00:00+00,{A7D20F02-E722-4928-BC47-BD3EF8089590},4670.69308497929
12221,520R100168,520,R1,00168,0,A,0.730000019073486,A,0,0.730000019073486,I,2021/12/31 00:00:00+00,{A7E08136-3130-41B1-9361-59852A058BDB},3975.22354817614
12222,405S501986,405,S5,01986,0,A,0.689999997615814,A,0,0.689999997615814,I,2021/12/31 00:00:00+00,{A85531B8-B64E-4730-8811-003630E73383},3632.32354744641
12223,167S102408,167,S1,02408,0,A,0.550000011920929,A,0,0.550000011920929,I,2021/12/31 00:00:00+00,{A86BF91C-A3BF-4F22-921D-80268B4A1BDA},2946.32626150758
12224,599S100156,599,S1,00156,0,A,0.200000002980232,A,0,0.200000002980232,I,2021/12/31 00:00:00+00,{A8A82D88-ED1F-4157-A06E-7C14E88CC478},963.70937033583
