Fuel Type,County,Antique,Antique Travel Trailer,Camper,Combination Farm,Combination Non Farm,Commercial,Commercial Motorcycle Trailer,Converter Gear,Farm,Farm Exempt,Federal,Federal Motorcycle Trailer,Fixed Load,For Hire,Government Exempt,House Dolly,Intermittent Trailer,Logging,Medium Electric Passenger,Medium Electric Truck,Mobile Home,Moped,Motorcycle,Motorhome,Neighborhood Electric Passenger,Neighborhood Electric Truck,Off Road Vehicle,Passenger Vehicle,Private School,Snowmobile,Snowmobile Exempt,Snowmobile Vintage,Stage,Taxi Cab,Tow Truck,Trailer,Travel Trailer,Truck,WATV,Total
Gas Powered,39 YAKIMA,1011,0,0,9,19,5930,0,0,813,172,3,0,14,98,119,0,0,0,0,0,0,142,5915,2258,0,0,1560,173363,6,1589,0,20,0,19,14,0,0,55017,3019,251110
Gas Powered,40 STATE,20,0,0,1,6,386,0,0,2,0,0,0,2,5,3,0,0,0,0,0,0,13,543,167,0,0,72,13168,0,20,0,0,0,0,3,0,0,2859,31,17301
non-Gas Powered,01 ADAMS,2,0,0,254,427,396,0,0,245,35,0,0,4,0,9,0,0,0,0,0,0,0,0,31,0,0,0,231,1,0,0,0,0,0,7,0,0,741,1,2384
non-Gas Powered,02 ASOTIN,0,0,0,33,42,201,0,0,53,2,0,0,1,0,4,0,0,0,0,0,0,0,0,60,0,0,0,477,0,0,0,0,0,0,1,0,0,1382,2,2258
non-Gas Powered,03 BENTON,9,0,0,138,300,2213,0,0,172,67,1,0,43,5,91,0,0,0,0,0,0,0,3,489,0,0,1,4801,1,4,0,0,0,7,29,0,0,7842,5,16221
non-Gas Powered,04 CHELAN,7,0,0,48,373,945,0,0,108,11,0,0,22,4,32,0,0,6,0,0,0,0,0,227,0,0,0,1460,2,6,0,0,0,0,14,0,0,3474,2,6741
non-Gas Powered,05 CLALLAM,4,0,0,2,312,901,0,0,29,3,0,0,20,6,35,0,0,133,0,0,0,0,0,340,0,0,1,2131,3,0,0,0,0,0,17,0,0,3506,3,7446
non-Gas Powered,06 CLARK,13,0,0,13,375,5682,0,0,73,11,0,0,58,33,132,0,0,9,0,0,0,0,11,1066,0,0,1,15596,5,0,0,0,0,1,42,0,0,14337,2,37460
non-Gas Powered,07 COLUMBIA,0,0,0,120,37,101,0,0,147,7,0,0,4,0,4,0,0,1,0,0,0,0,1,14,0,0,0,90,0,0,0,0,0,0,4,0,0,416,1,947
non-Gas Powered,08 COWLITZ,12,0,0,9,205,1379,0,0,41,6,0,0,24,0,54,0,0,117,0,0,0,0,4,338,0,0,0,2188,5,0,0,0,0,3,9,0,0,4972,4,9370
non-Gas Powered,09 DOUGLAS,1,0,0,75,212,567,0,0,108,4,0,0,8,0,11,0,0,0,0,0,0,0,0,96,0,0,1,595,0,0,0,0,0,0,4,0,0,1811,2,3495
non-Gas Powered,10 FERRY,0,0,0,2,41,66,0,0,11,8,0,0,1,0,2,0,0,3,0,0,0,0,0,23,0,0,1,87,0,0,0,0,0,0,0,0,0,546,0,791
non-Gas Powered,11 FRANKLIN,7,0,0,353,398,1855,0,0,483,72,0,0,57,1,41,0,0,0,0,0,0,0,3,158,0,0,1,1409,0,0,0,0,0,1,16,0,0,3147,2,8004
non-Gas Powered,12 GARFIELD,0,0,0,71,11,53,0,0,98,7,0,0,3,0,2,0,0,0,0,0,0,0,0,9,0,0,0,45,0,1,0,0,0,0,0,0,0,269,0,569
non-Gas Powered,13 GRANT,6,0,0,562,655,1468,0,0,576,106,0,0,47,6,67,0,0,0,0,0,0,0,0,246,0,0,1,1467,2,1,0,0,0,5,24,0,0,3993,9,9241
non-Gas Powered,14 GRAYS HARBOR,1,0,0,9,465,671,0,0,33,7,0,0,15,0,31,0,0,156,0,0,0,1,1,181,0,0,3,1459,0,0,0,0,1,0,8,0,0,2321,2,5365
non-Gas Powered,15 ISLAND,4,0,0,7,197,743,0,0,31,3,0,0,12,2,33,0,0,2,0,0,0,0,2,333,0,0,0,2663,0,0,0,0,0,1,5,0,0,3264,2,7304
non-Gas Powered,16 JEFFERSON,7,0,0,1,58,283,0,0,12,6,0,0,2,0,15,0,0,2,0,0,0,0,2,188,0,0,0,1270,0,0,0,0,0,0,5,0,0,1100,0,2951
non-Gas Powered,17 KING,103,0,0,14,5890,23661,0,0,75,22,2,0,261,730,1125,0,0,24,0,0,0,6,54,1895,0,0,8,73444,137,11,0,0,9,900,288,0,0,21145,17,129821
non-Gas Powered,18 KITSAP,24,0,0,3,362,2220,0,0,33,6,0,0,37,40,58,0,0,10,0,0,0,1,7,694,0,0,3,9210,6,0,0,0,0,4,34,0,0,7979,7,20738
non-Gas Powered,19 KITTITAS,12,0,0,46,402,865,0,0,83,7,0,0,22,3,25,0,0,10,0,0,0,0,0,160,0,0,1,850,0,3,0,0,0,1,24,0,0,2976,3,5493
non-Gas Powered,20 KLICKITAT,2,0,0,29,112,333,0,0,116,12,0,0,8,0,13,0,0,17,0,0,0,0,0,65,0,0,1,470,0,0,0,0,0,0,0,0,0,1477,0,2655
non-Gas Powered,21 LEWIS,11,0,0,23,380,1024,0,0,101,36,0,0,29,1,36,0,0,115,0,0,0,0,3,216,0,0,2,1502,0,0,0,0,0,0,12,0,0,4080,2,7573
non-Gas Powered,22 LINCOLN,0,0,0,175,100,360,0,0,299,13,0,0,4,0,4,0,0,2,0,0,0,0,0,40,0,0,2,214,1,0,0,0,0,0,3,0,0,1154,2,2373
non-Gas Powered,23 MASON,5,0,0,8,185,604,0,0,37,3,0,0,10,4,31,0,0,16,0,0,0,2,0,246,0,0,3,1345,0,1,0,0,0,0,8,0,0,2447,1,4956
