Application: Application Number,Total Amount,Application Received Date,Vehicle Category,Vehicle Model,Vehicle Year,Date of Purchase,Purchase or Lease?,Applicant: Postal Code,Applicant: County
M-000394,"$2,500",9/5/2014,BEV,Nissan LEAF SL,2013,8/11/2014,Leased,01002,Hampshire
M-000395,"$2,500",9/5/2014,PHEV+,Chevrolet Volt,2014,9/2/2014,Purchased,01834,Essex
M-000396,"$2,500",9/5/2014,BEV,Ford Focus Electric,2014,8/29/2014,Purchased,01890,Middlesex
M-000397,"$2,500",9/6/2014,PHEV+,Chevrolet Volt,2014,8/31/2014,Purchased,02140,Middlesex
M-000398,"$2,500",9/6/2014,BEV,Nissan LEAF S,2015,9/1/2014,Leased,01075,Hampshire
M-000399,"$1,500",9/6/2014,PHEV,Ford Fusion Energi,2014,8/17/2014,Purchased,02420,Middlesex
M-000400,"$2,500",9/7/2014,BEV,Ford Focus Electric,2014,9/5/2014,Purchased,01778,Middlesex
M-000401,"$2,500",9/7/2014,BEV,Nissan LEAF SV,2015,9/6/2014,Purchased,01776,Middlesex
M-000402,"$2,500",9/7/2014,BEV,Smart Electric Fortwo Coupe,2014,8/31/2014,Leased,02459,Middlesex
M-000403,"$2,500",9/7/2014,BEV,Ford Focus Electric,2014,9/7/2014,Purchased,01012,Hampshire
M-000404,"$2,500",9/7/2014,BEV,Nissan LEAF SL,2014,8/2/2014,Leased,01541,Worcester
M-000405,"$1,500",9/8/2014,PHEV,Ford C-MAX Energi,2014,8/28/2014,Purchased,01826,Middlesex
M-000406,"$2,500",9/8/2014,PHEV+,Chevrolet Volt,2014,8/11/2014,Leased,01266,Berkshire
M-000408,"$2,500",9/9/2014,PHEV+,Chevrolet Volt,2014,9/2/2014,Purchased,01832,Essex
M-000409,"$2,500",9/9/2014,BEV,Ford Focus Electric,2014,9/4/2014,Purchased,01915,Essex
M-000410,"$2,500",9/9/2014,BEV,Nissan LEAF SL,2015,8/30/2014,Purchased,02367,Plymouth
M-000411,"$2,500",9/10/2014,PHEV+,Chevrolet Volt,2014,9/9/2014,Leased,01742,Middlesex
M-000412,"$2,500",9/10/2014,BEV,BMW i3 REx,2014,9/10/2014,Purchased,01754,Middlesex
M-000413,"$1,500",9/11/2014,BEV,Toyota Prius Plug-in Hybrid,2014,7/26/2014,Purchased,02474,Middlesex
M-000414,"$2,500",9/11/2014,PHEV+,Chevrolet Volt,2014,9/9/2014,Leased,02066,Plymouth
M-000415,"$2,500",9/11/2014,PHEV+,Chevrolet Volt,2015,9/5/2014,Purchased,01845,Essex
M-000416,"$2,500",9/13/2014,BEV,Tesla Model S - 85 kWh,2014,9/13/2014,Purchased,01760,Middlesex
M-000417,"$2,500",9/13/2014,BEV,Nissan LEAF SL,2015,9/2/2014,Purchased,01913,Essex
M-000421,"$2,500",9/16/2014,BEV,Nissan LEAF SL,2015,9/16/2014,Purchased,02324,Plymouth
M-000422,"$2,500",9/16/2014,BEV,Nissan LEAF SV,2015,9/16/2014,Leased,01775,Middlesex
M-000423,"$1,500",9/17/2014,PHEV,Ford C-MAX Energi,2014,9/5/2014,Leased,02421,Middlesex
M-000424,"$2,500",9/17/2014,BEV,Nissan LEAF SL,2015,9/16/2014,Leased,01721,Middlesex
M-000425,"$1,500",9/18/2014,PHEV,Ford C-MAX Energi,2014,8/26/2014,Purchased,02650,Barnstable
M-000426,"$2,500",9/18/2014,BEV,Nissan LEAF SL,2015,9/3/2014,Purchased,02132,Suffolk
M-000427,"$2,500",9/18/2014,BEV,Nissan LEAF SV,2015,9/16/2014,Leased,01606,Worcester
M-000428,"$2,500",9/18/2014,BEV,BMW i3,2014,9/18/2014,Purchased,01776,Middlesex
M-000429,"$2,500",9/18/2014,BEV,Tesla Model S - 60 kWh,2014,9/18/2014,Purchased,01612,Worcester
M-000430,"$1,500",9/19/2014,PHEV,Ford Fusion Energi,2014,6/26/2014,Leased,02155,Middlesex
M-000431,"$2,500",9/19/2014,BEV,Tesla Model S - 85 kWh,2014,8/25/2014,Purchased,02116,Suffolk
M-000432,"$2,500",9/19/2014,BEV,Nissan LEAF S,2015,9/19/2014,Leased,01060,Hampshire
M-000433,"$2,500",9/19/2014,BEV,Smart Electric Fortwo Coupe,2014,9/18/2014,Leased,02476,Middlesex
M-000435,"$2,500",9/20/2014,BEV,Nissan LEAF S,2015,9/13/2014,Leased,02360,Plymouth
M-000436,"$2,500",9/20/2014,PHEV+,Chevrolet Volt,2014,9/19/2014,Leased,01721,Middlesex
M-000437,"$2,500",9/20/2014,BEV,Tesla Model S - 85 kWh,2014,9/19/2014,Purchased,02452,Middlesex
M-000438,"$2,500",9/20/2014,BEV,Smart Electric Fortwo Cabriolet,2014,9/17/2014,Leased,02478,Middlesex
M-000439,"$2,500",9/21/2014,BEV,Nissan LEAF S,2015,9/13/2014,Leased,02135,Suffolk
M-000440,"$2,500",9/22/2014,BEV,Nissan LEAF SV,2015,9/17/2014,Purchased,01844,Essex
M-000442,"$2,500",9/23/2014,BEV,Nissan LEAF SL,2015,9/23/2014,Leased,02536,Barnstable
M-000443,"$2,500",9/24/2014,BEV,Nissan LEAF S,2015,9/22/2014,Leased,01602,Worcester
M-000444,"$2,500",9/24/2014,BEV,Tesla Model S - 85 kWh,2014,9/23/2014,Purchased,02090,Norfolk
M-000445,"$2,500",9/25/2014,BEV,Nissan LEAF SV,2015,9/25/2014,Leased,01810,Essex
M-000446,"$1,500",9/26/2014,PHEV,Ford C-MAX Energi,2014,8/2/2014,Purchased,01243,Hampshire
M-000447,"$2,500",9/26/2014,BEV,Nissan LEAF S,2015,9/26/2014,Leased,01062,Hampshire
M-000448,"$1,500",9/26/2014,PHEV,Ford Fusion Energi,2015,9/22/2014,Leased,01886,Middlesex
M-000449,"$2,500",9/26/2014,BEV,BMW i3 REx,2014,9/26/2014,Leased,01564,Worcester
M-000450,"$2,500",9/26/2014,BEV,Smart Electric Fortwo Coupe,2014,9/19/2014,Leased,01109,Hampden
M-000451,"$2,500",9/27/2014,BEV,Nissan LEAF S,2015,9/26/2014,Leased,01757,Worcester
M-000452,"$2,500",9/27/2014,BEV,Nissan LEAF S,2015,9/22/2014,Purchased,01434,Middlesex
M-000455,"$2,500",9/28/2014,BEV,Tesla Model S - 85 kWh,2014,7/7/2014,Purchased,02556,Barnstable
M-000456,"$2,500",9/28/2014,PHEV+,Chevrolet Volt,2014,9/23/2014,Purchased,01760,Middlesex
M-000457,"$2,500",9/28/2014,BEV,Tesla Model S - 85 kWh,2014,9/27/2014,Purchased,01810,Essex
M-000458,"$1,500",9/28/2014,PHEV,Ford C-MAX Energi,2014,9/23/2014,Leased,01460,Middlesex
M-000459,"$2,500",9/28/2014,BEV,Tesla Model S - 85 kWh,2014,9/27/2014,Purchased,01201,Berkshire
M-000460,"$2,500",9/29/2014,BEV,Tesla Model S - 60 kWh,2014,9/27/2014,Purchased,02476,Middlesex
M-000461,"$2,500",9/29/2014,BEV,Nissan LEAF SV,2015,9/23/2014,Leased,02760,Bristol
M-000462,"$2,500",9/29/2014,BEV,Tesla Model S - 85 kWh,2014,9/16/2014,Purchased,01907,Essex
M-000463,"$2,500",9/29/2014,BEV,Smart Electric Fortwo Coupe,2014,9/4/2014,Leased,02539,Dukes
M-000464,"$2,500",9/29/2014,BEV,Nissan LEAF S,2015,9/29/2014,Leased,01364,Franklin
M-000465,"$2,500",9/29/2014,BEV,Tesla Model S - 60 kWh,2014,9/27/2014,Purchased,02461,Middlesex
M-000466,"$2,500",9/29/2014,BEV,Tesla Model S - 85 kWh,2014,9/17/2014,Purchased,01907,Essex
M-000467,"$2,500",9/29/2014,BEV,Nissan LEAF S,2015,9/29/2014,Leased,01060,Hampshire
M-000468,"$2,500",9/29/2014,PHEV+,Chevrolet Volt,2014,9/24/2014,Purchased,01002,Hampshire
M-000469,"$2,500",9/29/2014,BEV,Tesla Model S - 85 kWh,2014,9/27/2014,Purchased,01503,Worcester
M-000470,"$2,500",9/30/2014,BEV,Nissan LEAF S,2015,9/29/2014,Leased,02062,Norfolk
M-000471,"$2,500",9/30/2014,PHEV+,Chevrolet Volt,2014,9/26/2014,Leased,01776,Middlesex
M-000472,"$2,500",9/30/2014,BEV,Tesla Model S - 85 kWh,2014,9/25/2014,Purchased,02493,Middlesex
M-000473,"$2,500",9/30/2014,PHEV+,Chevrolet Volt,2014,9/13/2014,Purchased,02050,Plymouth
M-000475,"$2,500",9/30/2014,BEV,Nissan LEAF SL,2015,9/25/2014,Leased,02184,Norfolk
M-000476,"$2,500",9/30/2014,BEV,Nissan LEAF S,2015,9/30/2014,Leased,02067,Norfolk
M-000477,"$2,500",9/30/2014,BEV,Nissan LEAF SL,2014,9/29/2014,Leased,01864,Middlesex
M-000478,"$2,500",10/1/2014,PHEV+,Chevrolet Volt,2014,9/28/2014,Purchased,01432,Middlesex
M-000479,"$2,500",10/1/2014,BEV,Tesla Model S - 85 kWh,2014,9/20/2014,Purchased,01833,Essex
M-000481,"$2,500",10/1/2014,BEV,Nissan LEAF S,2014,8/15/2014,Leased,01002,Hampshire
M-000482,"$2,500",10/1/2014,BEV,Nissan LEAF SV,2015,9/30/2014,Leased,02631,Barnstable
M-000483,"$2,500",10/1/2014,BEV,Tesla Model S - 60 kWh,2014,9/29/2014,Purchased,02136,Suffolk
M-000484,"$2,500",10/2/2014,BEV,Ford Focus Electric,2014,9/26/2014,Leased,02184,Norfolk
M-000485,"$2,500",10/2/2014,BEV,Nissan LEAF SL,2015,9/27/2014,Purchased,01742,Middlesex
M-000487,"$1,500",10/2/2014,PHEV,Ford Fusion Energi,2014,9/26/2014,Purchased,01949,Essex
M-000488,"$2,500",10/3/2014,BEV,Nissan LEAF S,2015,9/26/2014,Leased,01886,Middlesex
M-000489,"$2,500",10/3/2014,BEV,Nissan LEAF SL,2015,9/30/2014,Leased,01721,Middlesex
M-000490,"$2,500",10/4/2014,BEV,Tesla Model S - 85 kWh,2014,9/12/2014,Purchased,02571,Plymouth
M-000491,"$2,500",10/4/2014,PHEV+,Chevrolet Volt,2014,9/30/2014,Purchased,01033,Hampshire
M-000492,"$2,500",10/5/2014,PHEV+,Chevrolet Volt,2015,10/3/2014,Purchased,02054,Norfolk
M-000493,"$2,500",10/5/2014,BEV,Tesla Model S - 60 kWh,2014,9/27/2014,Purchased,02459,Middlesex
M-000495,"$2,500",10/6/2014,BEV,Nissan LEAF SV,2015,10/4/2014,Leased,02151,Suffolk
M-000496,"$2,500",10/6/2014,BEV,Smart Electric Fortwo Coupe,2014,9/24/2014,Leased,01810,Essex
M-000497,"$2,500",10/6/2014,BEV,Tesla Model S - 85 kWh,2014,9/24/2014,Purchased,02459,Middlesex
M-000498,"$2,500",10/6/2014,BEV,Nissan LEAF S,2015,10/3/2014,Leased,02067,Norfolk
M-000499,"$2,500",10/7/2014,BEV,Tesla Model S - 85 kWh,2014,9/23/2014,Purchased,02446,Norfolk
M-000500,"$2,500",10/7/2014,BEV,Tesla Model S - 85 kWh,2014,9/26/2014,Purchased,01451,Worcester
M-000501,"$2,500",10/7/2014,BEV,Smart Electric Fortwo Coupe,2014,9/30/2014,Leased,02568,Dukes
M-000502,"$2,500",10/7/2014,BEV,Tesla Model S - 85 kWh,2014,9/30/2014,Purchased,02030,Norfolk
M-000503,"$2,500",10/8/2014,BEV,Tesla Model S - 85 kWh,2014,8/7/2014,Purchased,02116,Suffolk
M-000504,"$2,500",10/8/2014,BEV,Smart Electric Fortwo Coupe,2014,10/3/2014,Leased,02152,Suffolk
M-000505,"$2,500",10/9/2014,BEV,BMW i3,2014,10/9/2014,Purchased,01742,Middlesex
M-000506,"$2,500",10/9/2014,BEV,BMW i3,2014,9/29/2014,Purchased,02356,Bristol
M-000507,"$2,500",10/10/2014,BEV,Tesla Model S - 85 kWh,2014,9/23/2014,Purchased,02465,Middlesex
M-000508,"$2,500",10/10/2014,BEV,BMW i3 REx,2014,7/14/2014,Purchased,01468,Worcester
M-000509,"$2,500",10/12/2014,BEV,Nissan LEAF S,2015,9/17/2014,Leased,01907,Essex
M-000510,"$2,500",10/12/2014,BEV,Tesla Model S - 60 kWh,2014,9/15/2014,Purchased,02155,Middlesex
M-000511,"$2,500",10/13/2014,PHEV+,Cadillac ELR,2014,10/6/2014,Purchased,02169,Norfolk
M-000512,"$2,500",10/13/2014,PHEV+,Chevrolet Volt,2014,10/10/2014,Purchased,01950,Essex
M-000514,"$2,500",10/13/2014,PHEV+,Chevrolet Volt,2014,10/8/2014,Leased,02655,Barnstable
M-000516,"$2,500",10/14/2014,PHEV+,Chevrolet Volt,2014,10/6/2014,Purchased,01746,Middlesex
M-000517,"$2,500",10/14/2014,BEV,Tesla Model S - 85 kWh,2014,9/15/2014,Purchased,02467,Suffolk
M-000519,"$2,500",10/14/2014,BEV,Nissan LEAF S,2015,10/14/2014,Leased,01754,Middlesex
M-000521,"$2,500",10/14/2014,PHEV+,Chevrolet Volt,2014,10/4/2014,Leased,02025,Norfolk
M-000522,"$2,500",10/15/2014,PHEV+,Chevrolet Volt,2015,10/14/2014,Purchased,01007,Hampshire
M-000523,"$2,500",10/15/2014,BEV,Nissan LEAF SL,2015,8/26/2014,Leased,01982,Essex
M-000524,"$2,500",10/15/2014,BEV,Smart Electric Fortwo Coupe,2015,10/13/2014,Leased,02155,Middlesex
M-000525,"$2,500",10/16/2014,BEV,Nissan LEAF S,2015,10/11/2014,Leased,02360,Plymouth
M-000526,"$2,500",10/16/2014,PHEV+,Chevrolet Volt,2015,9/29/2014,Purchased,01503,Worcester
M-000527,"$2,500",10/16/2014,BEV,Nissan LEAF S,2015,9/20/2014,Purchased,01945,Essex
M-000528,"$1,500",10/16/2014,PHEV,Ford Fusion Energi,2014,10/13/2014,Leased,01982,Essex
M-000529,"$1,500",10/16/2014,BEV,Toyota Prius Plug-in Hybrid,2014,10/12/2014,Purchased,02155,Middlesex
M-000532,"$2,500",10/17/2014,BEV,Mercedes-Benz B-Class Electric Drive,2014,10/4/2014,Leased,02149,Middlesex
M-000533,"$2,500",10/17/2014,BEV,Smart Electric Fortwo Coupe,2015,10/16/2014,Leased,02445,Norfolk
M-000534,"$2,500",10/18/2014,BEV,Tesla Model S - 85 kWh,2014,10/17/2014,Purchased,01534,Worcester
M-000535,"$2,500",10/20/2014,BEV,Smart Electric Fortwo Cabriolet,2014,10/10/2014,Leased,02557,Dukes
M-000536,"$2,500",10/20/2014,BEV,Nissan LEAF SV,2015,10/19/2014,Leased,01772,Worcester
M-000537,"$2,500",10/20/2014,PHEV+,Chevrolet Volt,2015,9/27/2014,Purchased,01835,Essex
M-000538,"$2,500",10/20/2014,BEV,Smart Electric Fortwo Coupe,2015,10/19/2014,Purchased,02460,Middlesex
M-000539,"$2,500",10/20/2014,PHEV+,Chevrolet Volt,2013,9/20/2014,Purchased,01742,Middlesex
M-000540,"$2,500",10/21/2014,PHEV+,Chevrolet Volt,2014,10/20/2014,Purchased,01773,Middlesex
M-000542,"$2,500",10/22/2014,BEV,Tesla Model S - 85 kWh,2014,10/10/2014,Purchased,02539,Dukes
M-000543,"$2,500",10/22/2014,PHEV+,Chevrolet Volt,2014,10/8/2014,Purchased,02324,Plymouth
M-000544,"$1,500",10/22/2014,BEV,Toyota Prius Plug-in Hybrid,2014,10/11/2014,Purchased,02021,Norfolk
M-000546,"$2,500",10/24/2014,BEV,BMW i3 REx,2014,10/4/2014,Purchased,02045,Plymouth
M-000548,"$2,500",10/25/2014,PHEV+,Chevrolet Volt,2015,10/25/2014,Purchased,01949,Essex
M-000549,"$2,500",10/25/2014,PHEV+,Chevrolet Volt,2015,10/24/2014,Purchased,01451,Worcester
M-000550,"$2,500",10/26/2014,BEV,Mercedes-Benz B-Class Electric Drive,2014,10/25/2014,Leased,02421,Middlesex
M-000551,"$1,500",10/26/2014,PHEV,Ford Fusion Energi,2015,10/1/2014,Purchased,02466,Middlesex
M-000552,"$2,500",10/26/2014,BEV,Smart Electric Fortwo Coupe,2014,10/13/2014,Leased,02111,Suffolk
M-000553,"$2,500",10/27/2014,BEV,BMW i3,2014,10/15/2014,Leased,01581,Worcester
M-000554,"$2,500",10/27/2014,BEV,Nissan LEAF S,2015,10/22/2014,Leased,02739,Plymouth
M-000555,"$2,500",10/27/2014,PHEV+,Chevrolet Volt,2014,10/25/2014,Purchased,01830,Essex
M-000556,"$1,500",10/28/2014,PHEV,Ford Fusion Energi,2015,10/28/2014,Leased,01007,Hampshire
M-000558,"$2,500",10/28/2014,PHEV+,Chevrolet Volt,2015,10/13/2014,Leased,02421,Middlesex
M-000559,"$2,500",10/28/2014,PHEV+,Chevrolet Volt,2014,10/28/2014,Purchased,01104,Hampden
M-000560,"$2,500",10/29/2014,BEV,Nissan LEAF S,2015,10/28/2014,Leased,02155,Middlesex
M-000561,"$2,500",10/29/2014,BEV,BMW i3 REx,2014,10/29/2014,Purchased,02338,Plymouth
M-000562,"$2,500",10/30/2014,PHEV+,Chevrolet Volt,2014,10/30/2014,Purchased,01038,Hampshire
M-000563,"$1,500",10/31/2014,PHEV,Ford C-MAX Energi,2014,8/15/2014,Purchased,02048,Bristol
M-000564,"$2,500",10/31/2014,BEV,Nissan LEAF S,2015,10/31/2014,Purchased,01879,Middlesex
M-000565,"$2,500",11/1/2014,PHEV+,Chevrolet Volt,2014,10/31/2014,Purchased,01007,Hampshire
M-000566,"$2,500",11/1/2014,PHEV+,Chevrolet Volt,2014,10/31/2014,Purchased,02420,Middlesex
M-000567,"$1,500",11/1/2014,PHEV,Ford C-MAX Energi,2014,10/22/2014,Leased,02144,Middlesex
M-000568,"$2,500",11/1/2014,BEV,Nissan LEAF S,2015,10/26/2014,Purchased,02558,Plymouth
M-000569,"$2,500",11/1/2014,BEV,Nissan LEAF S,2015,10/26/2014,Purchased,01830,Essex
M-000570,"$1,500",11/2/2014,PHEV,Ford Fusion Energi,2015,10/1/2014,Purchased,01730,Middlesex
M-000571,"$2,500",11/2/2014,BEV,BMW i3 REx,2014,10/18/2014,Leased,02176,Middlesex
M-000572,"$2,500",11/3/2014,BEV,Smart Electric Fortwo Coupe,2014,10/18/2014,Leased,02155,Middlesex
M-000573,"$2,500",11/3/2014,BEV,Ford Focus Electric,2014,10/31/2014,Purchased,01749,Middlesex
M-000574,"$2,500",11/4/2014,BEV,Nissan LEAF SL,2015,11/1/2014,Leased,02155,Middlesex
M-000575,"$2,500",11/4/2014,PHEV+,Chevrolet Volt,2014,11/1/2014,Purchased,01887,Middlesex
M-000577,"$1,500",11/5/2014,PHEV,Ford Fusion Energi,2014,11/4/2014,Leased,01749,Middlesex
M-000578,"$2,500",11/6/2014,BEV,Nissan LEAF SV,2015,10/22/2014,Leased,01851,Middlesex
M-000579,"$2,500",11/6/2014,PHEV+,Chevrolet Volt,2015,10/31/2014,Leased,02421,Middlesex
M-000580,"$2,500",11/7/2014,BEV,Nissan LEAF SL,2015,10/31/2014,Leased,02492,Norfolk
M-000581,"$2,500",11/8/2014,PHEV+,Cadillac ELR,2014,10/27/2014,Purchased,01887,Middlesex
M-000582,"$2,500",11/8/2014,BEV,Nissan LEAF S,2015,11/4/2014,Purchased,01810,Essex
M-000583,"$2,500",11/9/2014,BEV,Nissan LEAF SV,2015,11/9/2014,Leased,01020,Hampden
M-000584,"$2,500",11/9/2014,BEV,Smart Electric Fortwo Coupe,2015,11/7/2014,Purchased,01960,Essex
M-000585,"$2,500",11/10/2014,BEV,Nissan LEAF S,2015,11/10/2014,Leased,01075,Hampshire
M-000586,"$2,500",11/11/2014,PHEV+,Chevrolet Volt,2014,11/10/2014,Purchased,01072,Franklin
M-000587,"$2,500",11/11/2014,BEV,Smart Electric Fortwo Coupe,2015,10/30/2014,Leased,02421,Middlesex
M-000588,"$2,500",11/11/2014,BEV,Nissan LEAF SL,2015,11/11/2014,Leased,02554,Nantucket
M-000590,"$1,500",11/13/2014,PHEV,Ford C-MAX Energi,2014,11/8/2014,Leased,01453,Worcester
M-000591,"$2,500",11/13/2014,PHEV+,Chevrolet Volt,2014,11/13/2014,Purchased,01077,Hampden
M-000592,"$2,500",11/13/2014,BEV,Nissan LEAF SL,2015,11/13/2014,Leased,01966,Essex
M-000593,"$2,500",11/13/2014,BEV,Tesla Model S - 85 kWh,2014,9/26/2014,Purchased,02771,Bristol
M-000594,"$1,500",11/14/2014,PHEV,Ford Fusion Energi,2014,9/23/2014,Leased,02190,Norfolk
M-000595,"$2,500",11/14/2014,BEV,Smart Electric Fortwo Coupe,2015,11/10/2014,Leased,02130,Suffolk
M-000597,"$1,500",11/14/2014,PHEV,Ford Fusion Energi,2015,11/14/2014,Leased,02467,Suffolk
M-000598,"$2,500",11/14/2014,BEV,BMW i3 REx,2014,8/18/2014,Leased,02129,Suffolk
M-000599,"$2,500",11/15/2014,BEV,Nissan LEAF SL,2015,11/11/2014,Leased,02144,Middlesex
M-000601,"$2,500",11/15/2014,BEV,BMW i3,2014,11/12/2014,Leased,01944,Essex
M-000602,"$2,500",11/16/2014,BEV,Nissan LEAF S,2015,11/15/2014,Leased,02052,Norfolk
M-000603,"$2,500",11/16/2014,PHEV+,Chevrolet Volt,2014,11/14/2014,Purchased,01938,Essex
M-000604,"$2,500",11/16/2014,BEV,Nissan LEAF S,2015,11/10/2014,Purchased,01524,Worcester
M-000605,"$2,500",11/17/2014,BEV,Smart Electric Fortwo Coupe,2014,11/8/2014,Leased,02459,Middlesex
M-000606,"$1,500",11/17/2014,PHEV,Ford Fusion Energi,2014,10/1/2014,Purchased,01970,Essex
M-000607,"$2,500",11/17/2014,BEV,Smart Electric Fortwo Coupe,2015,11/12/2014,Leased,02446,Norfolk
M-000608,"$2,500",11/17/2014,BEV,Nissan LEAF SV,2015,11/17/2014,Leased,02760,Bristol
M-000609,"$2,500",11/18/2014,PHEV+,Chevrolet Volt,2015,11/15/2014,Leased,02056,Norfolk
M-000610,"$2,500",11/18/2014,BEV,BMW i3 REx,2014,8/23/2014,Purchased,01760,Middlesex
M-000611,"$2,500",11/18/2014,BEV,Volkswagen e-Golf,2015,11/17/2014,Leased,02138,Middlesex
M-000612,"$2,500",11/19/2014,PHEV+,Chevrolet Volt,2014,11/11/2014,Purchased,01940,Essex
M-000613,"$2,500",11/19/2014,BEV,Tesla Model S - 85 kWh,2014,11/10/2014,Purchased,02420,Middlesex
M-000614,"$1,500",11/19/2014,PHEV,Ford C-MAX Energi,2014,11/19/2014,Purchased,02476,Middlesex
M-000615,"$2,500",11/19/2014,BEV,Nissan LEAF SV,2015,11/16/2014,Leased,01701,Middlesex
M-000616,"$2,500",11/20/2014,PHEV+,Chevrolet Volt,2014,11/14/2014,Purchased,01545,Worcester
M-000617,"$2,500",11/21/2014,PHEV+,Chevrolet Volt,2015,11/15/2014,Purchased,01420,Worcester
M-000618,"$2,500",11/21/2014,PHEV+,Chevrolet Volt,2015,11/16/2014,Purchased,01742,Middlesex
M-000619,"$2,500",11/21/2014,PHEV+,Chevrolet Volt,2015,11/21/2014,Purchased,01201,Berkshire
M-000620,"$2,500",11/21/2014,BEV,Smart Electric Fortwo Coupe,2015,11/21/2014,Leased,01880,Middlesex
M-000621,"$2,500",11/22/2014,BEV,Nissan LEAF SL,2015,10/6/2014,Leased,01775,Middlesex
M-000622,"$2,500",11/22/2014,BEV,Smart Electric Fortwo Coupe,2014,11/21/2014,Leased,01904,Essex
M-000623,"$2,500",11/22/2014,PHEV+,Chevrolet Volt,2015,11/15/2014,Purchased,01886,Middlesex
M-000624,"$2,500",11/23/2014,BEV,Smart Electric Fortwo Coupe,2014,9/13/2014,Leased,01375,Franklin
M-000626,"$2,500",11/23/2014,BEV,Tesla Model S - 85 kWh,2014,9/19/2014,Purchased,02468,Middlesex
M-000627,"$2,500",11/23/2014,BEV,Nissan LEAF SV,2015,11/15/2014,Purchased,02476,Middlesex
M-000628,"$2,500",11/24/2014,PHEV+,Chevrolet Volt,2012,11/18/2014,Purchased,02458,Middlesex
M-000629,"$1,500",11/24/2014,PHEV,Ford Fusion Energi,2014,10/18/2014,Leased,02568,Dukes
M-000630,"$2,500",11/24/2014,PHEV+,Chevrolet Volt,2014,11/21/2014,Leased,02043,Plymouth
M-000631,"$2,500",11/24/2014,BEV,Tesla Model S - 85 kWh,2014,11/21/2014,Purchased,02554,Nantucket
M-000632,"$1,500",11/24/2014,PHEV,Ford Fusion Energi,2015,11/22/2014,Purchased,01902,Essex
M-000633,"$2,500",11/25/2014,BEV,Nissan LEAF S,2015,11/22/2014,Leased,02539,Dukes
M-000634,"$2,500",11/25/2014,BEV,Volkswagen e-Golf,2015,11/19/2014,Leased,02171,Norfolk
M-000635,"$2,500",11/26/2014,BEV,Tesla Model S - 60 kWh,2014,11/25/2014,Purchased,02067,Norfolk
M-000636,"$2,500",11/26/2014,BEV,Smart Electric Fortwo Coupe,2015,11/24/2014,Leased,01778,Middlesex
M-000637,"$2,500",11/26/2014,BEV,Mercedes-Benz B-Class Electric Drive,2014,11/24/2014,Leased,02138,Middlesex
M-000638,"$2,500",11/28/2014,BEV,Smart Electric Fortwo Coupe,2014,10/15/2014,Leased,01854,Middlesex
M-000639,"$2,500",11/28/2014,BEV,Nissan LEAF S,2015,11/28/2014,Leased,02025,Norfolk
M-000640,"$2,500",11/28/2014,BEV,Smart Electric Fortwo Coupe,2015,11/28/2014,Leased,02571,Plymouth
M-000641,"$2,500",11/29/2014,BEV,Mercedes-Benz B-Class Electric Drive,2014,11/28/2014,Leased,02421,Middlesex
M-000642,"$2,500",11/30/2014,BEV,Smart Electric Fortwo Coupe,2015,11/24/2014,Leased,02478,Middlesex
M-000643,"$2,500",12/1/2014,BEV,Mercedes-Benz B-Class Electric Drive,2014,11/30/2014,Leased,01845,Essex
M-000644,"$2,500",12/1/2014,PHEV+,Chevrolet Volt,2014,9/25/2014,Leased,01267,Berkshire
M-000645,"$2,500",12/1/2014,PHEV+,Chevrolet Volt,2015,9/30/2014,Leased,02324,Plymouth
M-000646,"$2,500",12/2/2014,BEV,Smart Electric Fortwo Coupe,2015,11/21/2014,Leased,02118,Suffolk
M-000647,"$2,500",12/2/2014,PHEV+,Chevrolet Volt,2014,11/29/2014,Purchased,01507,Worcester
M-000648,"$1,500",12/3/2014,PHEV,Ford C-MAX Energi,2014,10/26/2014,Leased,02155,Middlesex
M-000649,"$2,500",12/3/2014,BEV,Mercedes-Benz B-Class Electric Drive,2014,12/1/2014,Leased,02421,Middlesex
M-000650,"$2,500",12/3/2014,BEV,Volkswagen e-Golf,2015,11/28/2014,Leased,02476,Middlesex
M-000651,"$1,500",12/3/2014,PHEV,Ford Fusion Energi,2015,11/30/2014,Purchased,01850,Middlesex
M-000652,"$2,500",12/3/2014,PHEV+,Chevrolet Volt,2015,12/2/2014,Purchased,02474,Middlesex
M-000653,"$2,500",12/3/2014,BEV,Nissan LEAF S,2015,11/12/2014,Leased,02301,Plymouth
M-000654,"$2,500",12/3/2014,PHEV+,Chevrolet Volt,2014,11/29/2014,Purchased,02048,Bristol
M-000655,"$2,500",12/3/2014,BEV,Mercedes-Benz B-Class Electric Drive,2014,11/28/2014,Leased,01581,Worcester
M-000656,"$2,500",12/4/2014,BEV,Mercedes-Benz B-Class Electric Drive,2014,11/29/2014,Leased,02367,Plymouth
M-000657,"$2,500",12/4/2014,PHEV+,Cadillac ELR,2014,11/18/2014,Purchased,01702,Middlesex
M-000658,"$2,500",12/4/2014,BEV,Nissan LEAF SV,2015,11/28/2014,Leased,01473,Worcester
M-000659,"$1,500",12/4/2014,PHEV,Ford Fusion Energi,2015,12/1/2014,Purchased,01460,Middlesex
M-000660,"$1,500",12/4/2014,PHEV,Ford C-MAX Energi,2014,12/1/2014,Purchased,02465,Middlesex
M-000662,"$2,500",12/5/2014,BEV,Volkswagen e-Golf,2015,11/26/2014,Leased,02171,Norfolk
